iter	Passed	Remaining
0	1	170
1	3	153
2	4	153
3	5	143
4	7	140
5	8	136
6	9	132
7	11	128
8	12	124
9	13	121
10	14	116
11	15	115
12	17	113
13	17	109
14	19	109
15	20	106
16	21	103
17	21	99
18	22	97
19	23	95
20	24	93
21	26	92
22	26	89
23	28	90
24	29	87
25	30	85
26	31	84
27	31	82
28	32	80
29	33	78
30	34	77
31	35	76
32	37	75
33	38	73
34	39	72
35	40	71
36	41	69
37	42	68
38	42	67
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	55
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	57	49
54	58	47
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	40
61	64	39
62	65	38
63	66	37
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	23
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
