iter	Passed	Remaining
0	1	1477
1	2	1217
2	3	1167
3	4	1115
4	5	1138
5	6	1151
6	8	1138
7	9	1132
8	10	1116
9	11	1115
10	12	1107
11	13	1090
12	14	1076
13	15	1064
14	16	1056
15	17	1056
16	18	1053
17	19	1057
18	20	1053
19	21	1048
20	22	1044
21	23	1034
22	24	1033
23	25	1031
24	26	1027
25	27	1022
26	28	1021
27	29	1019
28	30	1012
29	31	1009
30	32	1003
31	33	999
32	34	1002
33	35	1007
34	36	1012
35	37	1011
36	38	1009
37	40	1013
38	41	1013
39	42	1011
40	43	1009
41	44	1005
42	45	1005
43	46	1006
44	47	1001
45	48	1006
46	49	1003
47	51	1014
48	52	1014
49	53	1014
50	54	1016
51	55	1016
52	57	1019
53	58	1019
54	59	1017
55	60	1018
56	61	1016
57	62	1017
58	63	1018
59	64	1017
60	66	1019
61	67	1018
62	68	1020
63	69	1020
64	70	1020
65	72	1020
66	73	1020
67	74	1017
68	75	1017
69	76	1020
70	77	1020
71	79	1019
72	80	1018
73	81	1016
74	82	1018
75	83	1017
76	84	1014
77	85	1012
78	86	1012
79	87	1009
80	88	1007
81	89	1006
82	90	1000
83	91	999
84	92	996
85	93	994
86	94	992
87	95	991
88	96	989
89	97	986
90	98	984
91	99	984
92	100	982
93	101	979
94	102	978
95	103	977
96	104	975
97	105	974
98	107	974
99	108	972
100	109	971
101	110	970
102	111	968
103	112	969
104	113	968
105	114	967
106	115	966
107	116	965
108	117	963
109	119	962
110	120	962
111	121	960
112	122	958
113	123	957
114	124	956
115	125	955
116	126	954
117	127	954
118	128	953
119	129	952
120	130	950
121	131	947
122	132	945
123	133	944
124	134	943
125	135	941
126	136	938
127	137	936
128	138	936
129	139	934
130	140	932
131	141	932
132	142	930
133	143	929
134	144	926
135	145	925
136	146	923
137	147	923
138	148	920
139	149	919
140	150	918
141	151	915
142	152	915
143	153	914
144	154	913
145	156	912
146	157	911
147	158	910
148	159	908
149	160	907
150	161	909
151	162	908
152	163	907
153	165	906
154	165	904
155	167	904
156	168	902
157	169	901
158	170	899
159	171	898
160	171	895
161	172	893
162	173	891
163	174	890
164	175	889
165	176	888
166	177	887
167	178	885
168	179	884
169	181	883
170	181	881
171	182	880
172	183	879
173	184	877
174	185	875
175	186	874
176	187	873
177	188	871
178	189	870
179	190	869
180	191	868
181	192	866
182	193	865
183	194	863
184	195	862
185	196	860
186	197	859
187	198	857
188	199	856
189	200	856
190	201	855
191	203	854
192	204	853
193	205	852
194	206	851
195	207	850
196	208	848
197	209	847
198	210	846
199	211	844
200	212	843
201	213	841
202	214	841
203	215	841
204	216	841
205	218	841
206	219	840
207	220	840
208	221	839
209	222	838
210	223	837
211	225	836
212	226	835
213	227	834
214	228	832
215	229	831
216	230	830
217	230	828
218	231	827
219	233	826
220	234	825
221	235	824
222	236	823
223	237	822
224	238	821
225	239	820
226	240	819
227	241	817
228	242	816
229	243	814
230	244	813
231	245	813
232	247	813
233	248	812
234	249	811
235	250	810
236	251	809
237	252	808
238	253	806
239	254	805
240	255	804
241	256	803
242	257	801
243	258	800
244	259	799
245	260	797
246	261	797
247	262	797
248	264	796
249	265	795
250	266	794
251	267	793
252	268	792
253	269	791
254	270	790
255	271	789
256	272	788
257	273	787
258	275	787
259	276	786
260	277	786
261	278	784
262	279	784
263	281	783
264	282	782
265	283	781
266	284	780
267	285	778
268	286	778
269	287	777
270	288	776
271	289	775
272	290	774
273	292	773
274	293	773
275	294	772
276	295	771
277	297	772
278	298	771
279	300	772
280	301	771
281	302	770
282	303	769
283	304	768
284	305	767
285	307	767
286	308	766
287	309	766
288	310	764
289	311	763
290	313	762
291	314	761
292	315	760
